IDUNSPSC,descripcion_esp,descripcion_regional
83101801,Suministro de electricidad monofásica,Servicios eléctricos
83101803,Suministro de electricidad  trifásica,Servicios eléctricos
83101804,Servicios de transmisión de energía eléctrica,Servicios eléctricos
83101806,Distribución de energía eléctrica rural,Servicios eléctricos
83101807,Distribución de energía eléctrica municipal,Servicios eléctricos
83101808,Monitoreo de la calidad de la energía,Servicios eléctricos
83101501,Abastecimiento de agua,Servicios de acueducto y alcantarillado
83101503,Gestión de control de la calidad del agua,Servicios de acueducto y alcantarillado
83101504,Gestión de distribución del agua,Servicios de acueducto y alcantarillado
83101506,Servicios de tratamiento de aguas,Servicios de acueducto y alcantarillado
83101508,Agua para la ciudad,Servicios de acueducto y alcantarillado
83101509,Agua para servicios,Servicios de acueducto y alcantarillado
83101510,Agua fría,Servicios de acueducto y alcantarillado
83101601,Suministro de gas natural,Servicios de petróleo y gas
78102202,Servicios de apartado postal,Servicios postales de paqueteo y courrier
78102203,Servicios de envío, recogida o entrega de correo,Servicios postales de paqueteo y courrier
83111501,Servicio de telefonía local,Comunicaciones telefónicas locales y de larga distancia
83111502,Servicios telefónicos de larga distancia,Comunicaciones telefónicas locales y de larga distancia
83111503,Servicios de proveedores de teléfonos con pago,Comunicaciones telefónicas locales y de larga distancia
83111505,Servicios de asistencia telefónica,Comunicaciones telefónicas locales y de larga distancia
83111507,"Servicios de buró de central de llamadas (""call center"")",Comunicaciones telefónicas locales y de larga distancia
83111510,Servicio de respuesta de voz interactiva,Comunicaciones telefónicas locales y de larga distancia
83111511,Servicio de telecomunicaciones de retransmisión en trama,Comunicaciones telefónicas locales y de larga distancia
83111601,Servicios en la red para mejorar las señales de telecomunicaciones ,Servicios de comunicaciones móviles
83111602,Servicios de sistemas de comunicación por satélite o terrestre,Servicios de comunicaciones móviles
83111603,Servicios de telefonía celular,Servicios de comunicaciones móviles
83111605,Leasing de segmentos de espacio,Servicios de comunicaciones móviles
72101518,Servicio de alquiler de generadores portátiles,Servicios de apoyo para la construcción
72141701,Servicio de alquiler o leasing de maquinaria para construcción,Servicios de alquiler o arrendamiento de equipo y maquinaria de construcción
72141702,Servicio de alquiler o leasing de equipo para construcción,Servicios de alquiler o arrendamiento de equipo y maquinaria de construcción
72154101,Servicio de alquiler y mantenimiento de compresores de aire,Servicios de mantenimiento y reparación de equipo de sistemas de distribución y acondicionamiento
78111808,Alquiler de vehículos,Transporte de pasajeros por carretera
72153613,Servicio de alquiler y mantenimiento de mobiliario para oficina,Servicios de terminado interior, dotación y remodelación
72154057,Servicio de alquiler de tanques de almacenamiento,Servicios de edificios especializados y comercios
72154064,Servicio de alquiler de equipos portátiles para iluminación,Servicios de edificios especializados y comercios
72101505,Servicios de cerrajería,Servicios de apoyo para la construcción
72101507,Servicio de mantenimiento de edificios,Servicios de apoyo para la construcción
72101510,Mantenimiento o reparación del sistema de plomería,Servicios de apoyo para la construcción
72101511,Servicio de instalación o mantenimiento o reparación de aires acondicionados,Servicios de apoyo para la construcción
72101516,Servicio de inspección, mantenimiento o reparación de extinguidores de fuego,Servicios de apoyo para la construcción
72102902,Servicios de paisajismo,Servicios de mantenimiento y reparación de instalaciones
