nombre,idobjeto,idunidad,idProcesoCompra,idCubs
ALETAS (EQUIPO BUCEO),35800,4,1,10101501
CESTAS PLÁSTICAS,35800,4,1,10101501
CHALECO (EQUIPO BUCEO),39800,4,1,10101501
CINTA DE PRECAUCION,35800,39,1,10101501
CISTERNA,35800,4,1,10101501
CUCHARAS DESECHABLES,39400,33,24,10101501
FRASCOS DE PLASTICO,35800,4,1,10101501
GUANTES,35800,34,1,10101501
LAVADERO,35800,4,1,10101501
RECIPIENTE PARA ALMACENAR LÍQUIDOS,35800,4,1,10101501
VISOR (EQUIPO BUCEO),35800,4,1,10101501
ABONO ORGANICO,35300,19,1,10101501
ACEITE,35650,9,1,10101501
BALDES PLÁSTICO,35800,4,1,10101501
BARRA PARA MAGNETOS E POLIETILENO,35800,4,1,10101501
BEBCENO,35251,29,1,10101501
BENEDICT,35251,29,1,10101501
BOLSAS ESTERILES,35800,24,1,10101501
BOLSAS PARA BASURA,35800,33,1,10101501
BOMBA PARA FUMIGAR,35800,4,1,10101501
CANASTILLAS DE COSECHAS,35800,4,1,10101501
COLORACIÓN PANÓCTICO,35251,40,1,10101501
COLORIMÉTRICO,35251,4,1,10101501
DELTAMETRINA,35400,32,1,10101501
DIESEL,35620,32,1,10101501
DIODOS LED,39600,4,1,10101501
GAS LPG,35640,11,1,10101501
GASOLINA,35610,32,1,10101501
JABÓN EN BARRA,39100,4,1,10101501
JABÓN LIQUIDO,39100,9,1,10101501
PINTURA,35500,17,1,10101501
RESISTENCIAS CON 30 VALORES,39600,4,1,10101501
SUERO PARA TIPIAJE SANGUÍNEO,35251,29,1,10101501
SULFATO DE COBRE,35251,29,1,10101501
THINNER LACA (DILUYENTES PARA PINTURA Y BARNICES),35500,9,69,31211803
VENENO,35400,11,1,10101501
ABRAZADERAS METALICA,36930,4,1,10101501
ABRAZADERAS PLASTICAS GRANDES,35800,33,92,10101501
ACCESS POINT,42510,4,1,10101501
ACEITE DE INMERSIÓN PARA MICROSCOPIO,39520,29,1,10101501
ACETALDEHIDO,35100,29,1,10101501
ACETAMINOFEN,35210,24,1,10101501
ACETATO DE CALCIO,35100,29,1,10101501
ACETATO DE SODIO,35100,29,1,10101501
ACETONA PURA,35100,9,1,10101501
